metric,value
source_factură scadentă (Enel/Plată eșuată)_count,1.0
source_factură scadentă (Hidroelectrica/Autoritate)_count,1.0
source_metoda 'Accidentul' (AUTORITATE - Director/HR)_count,1.0
source_factură scadentă (ANAF/Utilități)_count,1.0
source_Securitate (E.ON)_count,1.0
source_factură scadentă (Director/Amenințare)_count,1.0
source_actualizare date personale (Autoritate Falsă)_count,1.0
source_Securitate Cont (Digi)_count,1.0
source_factură scadentă (Amenințare Legală)_count,1.0
source_Securitate Cont (Hidroelectrica)_count,1.0
source_metoda 'Accidentul' (Poliția Legit)_count,1.0
source_metoda 'Accidentul' (Poliția/Familie)_count,1.0
source_metoda 'Accidentul' (AUTORITATE - Banca)_count,1.0
source_Contract (Digi)_count,1.0
source_Utility Notification_count,1.0
source_metoda 'Accidentul' (Oportunitate - Retragere rapidă)_count,1.0
source_metoda 'Accidentul' (AUTORITATE - Ministerul Finanțelor)_count,1.0
source_metoda 'Accidentul' (Oportunitate - Investiție)_count,1.0
source_factură scadentă (ANAF/Confirmare fiscală)_count,1.0
source_factură scadentă (Enel/Actualizare)_count,1.0
source_metoda 'Accidentul' (AUTORITATE - Parchetul)_count,1.0
source_metoda 'Accidentul' (Oportunitate - Premiu)_count,1.0
source_actualizare date personale (Banca Transilvania/BCR)_count,1.0
source_factură scadentă (General Utility)_count,1.0
source_metoda 'Accidentul' (Oportunitate - Ajutor financiar)_count,1.0
source_factură scadentă (E.ON/Urgență)_count,1.0
source_Informații (Hidroelectrica)_count,1.0
source_factură scadentă (Hidroelectrica/Informare Tarife)_count,1.0
source_metoda 'Accidentul' (Oportunitate - Bonus/Voucher)_count,1.0
source_factură scadentă (Poliție Economică)_count,1.0
source_Customer Service_count,1.0
source_metoda 'Accidentul' (Oportunitate - Ajutor/Pachet Social)_count,1.0
source_factură scadentă (E.ON/Amenințare financiară)_count,1.0
source_metoda 'Accidentul' (Factură Legit)_count,1.0
source_factură scadentă (TVA/FISC)_count,1.0
source_metoda 'Accidentul' (Oportunitate - Marketing real)_count,1.0
source_factură scadentă (Digi/Autoritate)_count,1.0
source_metoda 'Accidentul' (Oportunitate - Voucher)_count,1.0
source_Autoritate (ANPC)_count,1.0
source_factură scadentă (Digi/Factură emisă)_count,1.0
source_metoda 'Accidentul' (Oportunitate - Sondaj/Recompensă)_count,1.0
source_Index (Enel)_count,1.0
source_metoda 'Accidentul' (AUTORITATE - Banca/Frauda)_count,1.0
source_metoda 'Accidentul' (Oportunitate - Taxă/Amenințare)_count,1.0
source_metoda 'Accidentul' (Oportunitate - Falsă alertă bancară)_count,1.0
source_factură (Digi/Comandă)_count,1.0
source_Index (Hidroelectrica)_count,1.0
source_Facturare (E.ON)_count,1.0
source_actualizare date personale (Raiffeisen/Pretext poștal)_count,1.0
source_actualizare date personale (Raiffeisen/ANAF)_count,1.0
source_Cont securitate_count,1.0
source_factură scadentă (Hidroelectrica/Index)_count,1.0
source_metoda 'Accidentul' (Oportunitate - Împrumut)_count,1.0
source_metoda 'Accidentul' (Poștă Legit)_count,1.0
source_Government Notification_count,1.0
source_Autoritate (Director)_count,1.0
source_metoda 'Accidentul' (Director Legit)_count,1.0
source_metoda 'Accidentul' (OTP Legit)_count,1.0
source_factură scadentă (E.ON/Login reușit)_count,1.0
source_factură scadentă (ANAF/Avertizare Generală)_count,1.0
source_metoda 'Accidentul' (AUTORITATE - Banca Națională)_count,1.0
source_factură scadentă (Enel/Cod OTP)_count,1.0
source_factură scadentă (Poliția)_count,1.0
source_metoda 'Accidentul' (Oportunitate - Reducere/Taxă)_count,1.0
source_Cont bancar (Autoritate)_count,1.0
source_Taxe/Autoritate_count,1.0
source_metoda 'Accidentul' (Oportunitate - Taxă urgentă)_count,1.0
source_Securitate OTP_count,1.0
source_factură scadentă (Enel/Autoritate)_count,1.0
source_metoda 'Accidentul' (Oportunitate - Deblocare fonduri)_count,1.0
source_Mentenanță (Enel)_count,1.0
source_factură scadentă (Digi/Marketing)_count,1.0
source_factură scadentă (ANAF/Autoritate)_count,1.0
